,Node,Latitude,Longitude
16463,16463,34.677376,-119.361229
16464,16464,34.679241,-119.358757
16465,16465,34.683617,-119.35717
16466,16466,34.685806,-119.350899
16467,16467,34.688011,-119.351151
16468,16468,34.70866,-119.364464
16469,16469,34.724571,-119.373207
16470,16470,34.746483,-119.393211
16471,16471,34.763264,-119.404503
16472,16472,34.782169,-119.412231
16473,16473,34.787338,-119.418198
16474,16474,34.792629,-119.43055
16475,16475,34.796661,-119.435944
16476,16476,34.803425,-119.442787
16477,16477,34.844696,-119.470039
16478,16478,34.856972,-119.476501
16479,16479,34.433025,-119.714302
16480,16480,34.438946,-119.706863
16481,16481,34.443043,-119.743103
16494,16494,34.426922,-118.58728
16495,16495,34.434681,-118.591003
16496,16496,34.43922,-118.595779
16497,16497,34.428856,-119.263802
16498,16498,34.427734,-119.276482
16499,16499,34.4263,-119.280029
16500,16500,34.426872,-118.489304
16501,16501,34.426285,-118.492661
16502,16502,34.42448,-118.498413
16521,16521,34.423431,-118.459213
16522,16522,34.424324,-118.461723
16523,16523,34.426373,-118.470909
16524,16524,34.427353,-118.486557
16525,16525,34.420895,-119.667953
16526,16526,34.4212,-119.681602
16527,16527,34.42498,-119.706306
16528,16528,34.428646,-119.711823
16529,16529,34.42086,-119.666237
16530,16530,34.505875,-118.126587
16531,16531,34.498901,-118.140327
16532,16532,34.49789,-118.154129
16533,16533,34.504372,-118.179359
16534,16534,34.504658,-118.20285
16535,16535,34.505741,-118.211983
16536,16536,34.508621,-118.225288
16537,16537,34.514244,-118.240837
16538,16538,34.514622,-118.250519
16539,16539,34.513649,-118.257973
16540,16540,34.500587,-118.285698
16541,16541,34.486675,-118.304024
16542,16542,34.48246,-118.31501
16543,16543,34.476757,-118.338692
16544,16544,34.471634,-118.347733
16545,16545,34.460777,-118.356689
16546,16546,34.45615,-118.36187
16547,16547,34.45031,-118.373383
16548,16548,34.445946,-118.393608
16549,16549,34.437263,-118.405548
16550,16550,34.428467,-118.427383
16551,16551,34.418152,-118.444366
16552,16552,34.417725,-118.543663
16553,16553,34.418652,-118.536484
16554,16554,34.420906,-118.53038
16555,16555,34.42173,-118.514214
16556,16556,34.424633,-118.56488
16557,16557,34.408573,-118.457748
16558,16558,34.406998,-118.459953
16559,16559,34.403774,-118.463516
16560,16560,34.397556,-118.473572
16561,16561,34.441769,-118.614601
16562,16562,34.432182,-118.631554
16563,16563,34.427124,-118.653549
16564,16564,34.417332,-118.667717
16565,16565,34.412399,-118.677849
16566,16566,34.41074,-118.682793
16567,16567,34.409573,-118.704292
16568,16568,34.407196,-118.711983
16569,16569,34.407833,-118.716133
16570,16570,34.409409,-118.718918
16571,16571,34.409554,-118.725822
16572,16572,34.411308,-118.732758
16573,16573,34.407288,-118.742897
16574,16574,34.406891,-118.75724
16575,16575,34.407612,-118.773262
16576,16576,34.409721,-118.78849
16577,16577,34.404999,-118.799438
16578,16578,34.401619,-118.812889
16579,16579,34.402222,-118.83802
16580,16580,34.397736,-118.865807
16581,16581,34.395107,-118.891693
16582,16582,34.398876,-118.918823
16583,16583,34.389919,-118.959587
16584,16584,34.392414,-118.955673
16585,16585,34.403576,-118.944603
16586,16586,34.406624,-118.939697
16587,16587,34.406273,-118.931961
16588,16588,34.399982,-118.921883
16611,16611,34.42696,-119.281708
16612,16612,34.428806,-119.294731
16613,16613,34.425209,-119.304298
16614,16614,34.4268,-119.318977
16615,16615,34.42041,-119.330681
16616,16616,34.419102,-119.353561
16617,16617,34.415768,-119.360924
16618,16618,34.412045,-119.363861
16619,16619,34.407185,-119.366219
16620,16620,34.396729,-119.360687
16621,16621,34.391647,-119.362747
16622,16622,34.390972,-119.37516
16623,16623,34.385727,-119.386887
16624,16624,34.382809,-119.396461
16625,16625,34.382504,-119.400597
16626,16626,34.393707,-119.41581
16627,16627,34.394455,-119.438469
16628,16628,34.396168,-119.445412
16629,16629,34.396942,-119.453163
16630,16630,34.390499,-119.467056
16631,16631,34.391186,-119.478493
16632,16632,34.394955,-119.478844
16633,16633,34.395817,-119.483292
16634,16634,34.40398,-119.508362
16635,16635,34.405056,-119.514198
16636,16636,34.407974,-119.518959
16637,16637,34.411598,-119.522346
16638,16638,34.413689,-119.537903
16639,16639,34.414989,-119.543739
16640,16640,34.416988,-119.548477
16641,16641,34.4226,-119.558006
16642,16642,34.425678,-119.568039
16643,16643,34.430676,-119.572006
16644,16644,34.431557,-119.574516
16645,16645,34.432636,-119.579536
16646,16646,34.433769,-119.597282
16647,16647,34.433857,-119.607529
16648,16648,34.436466,-119.617828
16649,16649,34.436638,-119.621986
16650,16650,34.435925,-119.623909
16651,16651,34.436317,-119.631844
16652,16652,34.433327,-119.645462
16653,16653,34.43483,-119.652412
16654,16654,34.441284,-119.666672
16655,16655,34.442371,-119.670578
16656,16656,34.44231,-119.675011
16657,16657,34.443867,-119.67836
16658,16658,34.444286,-119.680862
16659,16659,34.443768,-119.685287
16660,16660,34.441196,-119.688553
16661,16661,34.440926,-119.691322
16662,16662,34.441959,-119.694344
16663,16663,34.381516,-119.068207
16664,16664,34.390495,-119.074852
16665,16665,34.399769,-119.083633
16666,16666,34.421219,-119.091316
16667,16667,34.424824,-119.095818
16668,16668,34.429199,-119.124924
16669,16669,34.436321,-119.13945
16670,16670,34.437397,-119.144173
16671,16671,34.435345,-119.202667
16672,16672,34.441586,-119.199509
16673,16673,34.444965,-119.203743
16674,16674,34.363815,-119.047058
16675,16675,34.366409,-119.043388
16676,16676,34.380806,-118.998741
16677,16677,34.385319,-118.971237
16678,16678,34.388428,-118.961929
16679,16679,34.357544,-119.058167
16680,16680,34.373386,-119.060211
16681,16681,34.36393,-119.056839
16682,16682,34.339249,-119.286873
16683,16683,34.352165,-119.296577
16684,16684,34.361694,-119.302628
16685,16685,34.369289,-119.30117
16686,16686,34.393631,-119.299606
16687,16687,34.401295,-119.294006
16688,16688,34.406601,-119.291939
16689,16689,34.39592,-118.476219
16690,16690,34.390614,-118.482277
16691,16691,34.386471,-118.485847
16692,16692,34.379799,-118.489693
16693,16693,34.374504,-118.493797
16694,16694,34.366653,-118.505653
16695,16695,34.360317,-118.505836
16696,16696,34.344433,-118.512192
16697,16697,34.339127,-118.515137
16698,16698,34.344063,-118.525703
16699,16699,34.354691,-118.541328
16700,16700,34.360043,-118.555763
16701,16701,34.368938,-118.561157
16702,16702,34.374397,-118.565392
16703,16703,34.337608,-119.081596
16704,16704,34.330509,-118.444504
16705,16705,34.328789,-118.442352
16706,16706,34.327404,-118.494263
16707,16707,34.33139,-118.485497
16708,16708,34.335518,-118.461853
16709,16709,34.331993,-118.446358
16710,16710,34.335987,-118.507919
16711,16711,34.328732,-118.499252
16788,16788,34.308926,-118.421654
16789,16789,34.298225,-118.411774
16790,16790,34.28989,-118.745689
16791,16791,34.290546,-118.752892
16792,16792,34.289608,-118.403801
16793,16793,34.291042,-118.758278
16794,16794,34.289513,-118.771202
16795,16795,34.289577,-118.784988
16796,16796,34.294189,-118.80162
16797,16797,34.302612,-118.824669
16798,16798,34.303402,-118.835159
16799,16799,34.302345,-118.845886
16800,16800,34.299503,-118.852722
16801,16801,34.298073,-118.854523
16802,16802,34.289478,-118.865196
16803,16803,34.289326,-119.299294
16804,16804,34.305218,-119.291489
16805,16805,34.318619,-119.285767
16806,16806,34.326431,-119.285149
16807,16807,34.293308,-119.304413
16808,16808,34.293633,-119.312134
16809,16809,34.296692,-119.321312
